,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
39,40,12,5,Kyle Larson,Hendrickcars.com (Rick Hendrick),Chevrolet,3,engine,0,1,0,Talladega
0,1,9,18,Kyle Busch,M&M's Mix (Joe Gibbs),Toyota,267,running,20,59,6,Kansas
1,2,4,4,Kevin Harvick,Busch Light For The Farmers (Stewart Haas Racing),Ford,267,running,0,40,0,Kansas
2,3,1,2,Brad Keselowski,Verizon 5G (Roger Penske),Ford,267,running,72,48,0,Kansas
3,4,5,21,Matt DiBenedetto,Dickies / Menards (Wood Brothers),Ford,267,running,0,33,0,Kansas
4,5,17,9,Chase Elliott,UniFirst (Rick Hendrick),Chevrolet,267,running,0,43,0,Kansas
5,6,15,19,"Martin Truex, Jr.",Auto-Owners Insurance (Joe Gibbs),Toyota,267,running,0,35,0,Kansas
6,7,11,8,Tyler Reddick,Childress Vineyards (Richard Childress),Chevrolet,267,running,0,41,0,Kansas
7,8,16,17,Chris Buescher,Auto Tempest (Jack Roush),Ford,267,running,13,29,0,Kansas
8,9,2,24,William Byron,Axalta (Rick Hendrick),Chevrolet,267,running,0,34,0,Kansas
9,10,6,3,Austin Dillon,Bass Pro Shops / Tracker Off Road (Richard Childress),Chevrolet,267,running,0,27,0,Kansas
10,11,21,99,Daniel Suarez,Camping World (Trackhouse Racing),Chevrolet,267,running,0,26,0,Kansas
11,12,20,11,Denny Hamlin,FedEx Freight (Joe Gibbs),Toyota,267,running,7,35,0,Kansas
12,13,3,34,Michael McDowell,CarParts.com (Bob Jenkins),Ford,267,running,0,24,0,Kansas
13,14,24,42,Ross Chastain,Clover (Chip Ganassi),Chevrolet,267,running,0,23,0,Kansas
14,15,28,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,267,running,0,22,0,Kansas
15,16,14,6,Ryan Newman,Hy-Vee (Jack Roush),Ford,267,running,0,21,0,Kansas
16,17,29,22,Joey Logano,AAA Insurance (Roger Penske),Ford,267,running,0,20,0,Kansas
17,18,25,48,Alex Bowman,Ally (Rick Hendrick),Chevrolet,267,running,0,19,0,Kansas
18,19,32,5,Kyle Larson,HendrickCars.com (Rick Hendrick),Chevrolet,267,running,132,37,1,Kansas
19,20,19,14,Chase Briscoe,HighPoint.com (Stewart Haas Racing),Ford,267,running,0,17,0,Kansas
20,21,7,12,Ryan Blaney,Menards / Moen (Roger Penske),Ford,267,running,0,24,0,Kansas
21,22,38,33,Austin Cindric,Money Lion (Roger Penske),Ford,267,running,0,0,0,Kansas
22,23,22,38,Anthony Alfredo,Dude Wipes (Bob Jenkins),Ford,266,running,0,14,0,Kansas
23,24,10,41,Cole Custer,HaasTooling.com (Stewart Haas Racing),Ford,266,running,0,13,0,Kansas
24,25,27,43,Erik Jones,Black Entrepreneur Initiative (Richard Petty Motorsports),Chevrolet,266,running,0,12,0,Kansas
25,26,13,23,Bubba Wallace,Dr. Pepper Zero Sugar (23XI Racing),Toyota,266,running,0,11,0,Kansas
26,27,26,7,Corey LaJoie,Nations Guard (Spire Motorsports),Chevrolet,265,running,0,10,0,Kansas
27,28,8,20,Christopher Bell,Rheem (Joe Gibbs),Toyota,265,running,0,12,0,Kansas
28,29,18,10,Aric Almirola,Smithfield / Price Chopper (Stewart Haas Racing),Ford,264,running,0,8,0,Kansas
29,30,31,77,Justin Haley,NASCAR Trucks at Knoxville (Spire Motorsports),Chevrolet,263,running,0,0,0,Kansas
30,31,30,78,B.J. McLeod,Celsius (B.J. McLeod),Ford,260,running,0,0,0,Kansas
31,32,12,37,Ryan Preece,Nature Valley (JTG-Daugherty Racing),Chevrolet,259,crash,0,5,0,Kansas
32,33,36,53,Garrett Smithley,Smart Sanitizer (Rick Ware),Chevrolet,259,running,0,0,0,Kansas
33,34,23,47,"Ricky Stenhouse, Jr.",Kroger / Energizer (JTG-Daugherty Racing),Chevrolet,258,crash,23,3,0,Kansas
34,35,35,15,Joey Gase,Explore Branson (Rick Ware),Chevrolet,258,running,0,0,0,Kansas
35,36,33,51,Cody Ware,Nurtec ODT (Rick Ware),Chevrolet,257,running,0,0,0,Kansas
36,37,34,0,Quin Houff,8 Ball Chocolate Whiskey (StarCom Racing),Chevrolet,256,running,0,1,0,Kansas
37,38,39,55,Matt Mills,Siebert Electric / J.F. Electric (B.J. McLeod),Ford,255,running,0,0,0,Kansas
38,39,37,52,Josh Bilicki,RBR Aviation (Rick Ware),Ford,250,running,0,1,0,Kansas
0,1,4,19,"Martin Truex, Jr.",Auto-Owners Insurance (Joe Gibbs),Toyota,293,running,248,60,7,Darlington
1,2,14,5,Kyle Larson,HendrickCars.com Throwback (Rick Hendrick),Chevrolet,293,running,0,48,0,Darlington
2,3,3,18,Kyle Busch,M&M's (Joe Gibbs),Toyota,293,running,9,43,0,Darlington
3,4,5,24,William Byron,Valvoline Throwback (Rick Hendrick),Chevrolet,293,running,0,43,0,Darlington
4,5,7,11,Denny Hamlin,Sport Clips (Joe Gibbs),Toyota,293,running,5,48,0,Darlington
5,6,2,4,Kevin Harvick,Mobil 1 Throwback (Stewart Haas Racing),Ford,293,running,10,37,0,Darlington
6,7,6,9,Chase Elliott,Hooters Throwback (Rick Hendrick),Chevrolet,293,running,0,33,0,Darlington
7,8,16,12,Ryan Blaney,Advance Auto Parts (Roger Penske),Ford,293,running,0,35,0,Darlington
8,9,11,17,Chris Buescher,Fifth Third Bank (Jack Roush),Ford,293,running,1,29,0,Darlington
9,10,20,6,Ryan Newman,Kohler Generators (Jack Roush),Ford,292,running,0,27,0,Darlington
10,11,22,14,Chase Briscoe,HighPoint.com Throwback (Stewart Haas Racing),Ford,292,running,0,26,0,Darlington
11,12,10,8,Tyler Reddick,Quartz Hill Records (Richard Childress),Chevrolet,292,running,2,36,0,Darlington
12,13,12,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,292,running,0,33,0,Darlington
13,14,21,20,Christopher Bell,Rheem (Joe Gibbs),Toyota,292,running,3,28,0,Darlington
14,15,18,42,Ross Chastain,McDonald's (Chip Ganassi),Chevrolet,291,running,10,22,0,Darlington
15,16,9,3,Austin Dillon,Bass Pro Shops (Richard Childress),Chevrolet,291,running,0,21,0,Darlington
16,17,19,48,Alex Bowman,Ally Throwback (Rick Hendrick),Chevrolet,291,running,0,21,0,Darlington
17,18,26,43,Erik Jones,STP (Richard Petty Motorsports),Chevrolet,291,running,0,19,0,Darlington
18,19,8,21,Matt DiBenedetto,Menards / Dutch Boy (Wood Brothers),Ford,290,running,0,18,0,Darlington
19,20,28,47,"Ricky Stenhouse, Jr.",Kroger / Tide (JTG-Daugherty Racing),Chevrolet,290,running,0,17,0,Darlington
20,21,23,23,Bubba Wallace,Root Insurance (23XI Racing),Toyota,290,running,0,16,0,Darlington
21,22,30,7,Corey LaJoie,In Memory of Alan Kulwicki (Spire Motorsports),Chevrolet,290,running,0,15,0,Darlington
22,23,15,99,Daniel Suarez,Camping World Throwback (Trackhouse Racing),Chevrolet,290,running,0,14,0,Darlington
23,24,1,2,Brad Keselowski,Freightliner (Roger Penske),Ford,290,running,4,13,0,Darlington
24,25,29,37,Ryan Preece,Velveeta (JTG-Daugherty Racing),Chevrolet,290,running,0,12,0,Darlington
25,26,25,38,Anthony Alfredo,We Care (Bob Jenkins),Ford,289,running,0,11,0,Darlington
26,27,13,34,Michael McDowell,Fr8 Auctions (Bob Jenkins),Ford,288,running,0,10,0,Darlington
27,28,31,77,Justin Haley,FOE Mother's Day (Spire Motorsports),Chevrolet,288,running,0,0,0,Darlington
28,29,34,53,J.J. Yeley,Fat Boy Ice Cream (Rick Ware),Chevrolet,286,running,0,0,0,Darlington
29,30,35,0,Quin Houff,Bos Klein / RCA (StarCom Racing),Chevrolet,286,running,0,7,0,Darlington
30,31,36,15,James Davison,Hope Givers Throwback (Rick Ware),Chevrolet,286,running,0,6,0,Darlington
31,32,32,78,B.J. McLeod,CorvetteParts.net / Keen Parts (B.J. McLeod),Ford,285,running,0,0,0,Darlington
32,33,37,52,Josh Bilicki,Insurance King Throwback (Rick Ware),Ford,245,running,0,4,0,Darlington
33,34,33,51,Cody Ware,Nurtec ODT Throwback (Rick Ware),Chevrolet,188,driveshaft,1,0,0,Darlington
34,35,17,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,106,crash,0,2,0,Darlington
35,36,24,41,Cole Custer,HaasTooling.com Mother's Day (Stewart Haas Racing),Ford,97,crash,0,1,0,Darlington
36,37,27,10,Aric Almirola,Smithfield / Winn-Dixie (Stewart Haas Racing),Ford,5,crash,0,1,0,Darlington
0,1,16,48,Alex Bowman,Ally (Rick Hendrick),Chevrolet,400,running,98,51,5,Dover
1,2,4,5,Kyle Larson,Nations Guard (Rick Hendrick),Chevrolet,400,running,263,55,2,Dover
2,3,8,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,400,running,0,50,0,Dover
3,4,3,24,William Byron,Axalta (Rick Hendrick),Chevrolet,400,running,21,45,0,Dover
4,5,9,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,400,running,0,36,0,Dover
5,6,5,4,Kevin Harvick,Hunt Brothers Pizza (Stewart Haas Racing),Ford,400,running,0,42,0,Dover
6,7,2,11,Denny Hamlin,FedEx Office (Joe Gibbs),Toyota,400,running,2,45,0,Dover
7,8,12,8,Tyler Reddick,CAT Linkage Parts (Richard Childress),Chevrolet,400,running,0,30,0,Dover
8,9,24,99,Daniel Suarez,CommScope (Trackhouse Racing),Chevrolet,400,running,0,28,0,Dover
9,10,30,41,Cole Custer,HaasTooling.com (Stewart Haas Racing),Ford,400,running,0,27,0,Dover
10,11,22,23,Bubba Wallace,McDonald's (23XI Racing),Toyota,400,running,0,26,0,Dover
11,12,7,12,Ryan Blaney,Menards / Cardell Cabinetry (Roger Penske),Ford,400,running,0,33,0,Dover
12,13,28,1,Kurt Busch,Yorktel / Caregility (Chip Ganassi),Chevrolet,400,running,0,28,0,Dover
13,14,14,3,Austin Dillon,Huk Performance Fishing (Richard Childress),Chevrolet,400,running,0,25,0,Dover
14,15,19,42,Ross Chastain,Moose Fraternity (Chip Ganassi),Chevrolet,400,running,0,22,0,Dover
15,16,15,2,Brad Keselowski,Wurth / UTI (Roger Penske),Ford,400,running,0,25,0,Dover
16,17,10,17,Chris Buescher,Fastenal (Jack Roush),Ford,400,running,0,22,0,Dover
17,18,25,37,Ryan Preece,Thomas' English Muffins (JTG-Daugherty Racing),Chevrolet,399,running,0,19,0,Dover
18,19,1,19,"Martin Truex, Jr.",Reser's Fine Foods (Joe Gibbs),Toyota,399,running,16,18,0,Dover
19,20,20,47,"Ricky Stenhouse, Jr.",Bush's Beans (JTG-Daugherty Racing),Chevrolet,399,running,0,17,0,Dover
20,21,11,20,Christopher Bell,Stanley Tools (Joe Gibbs),Toyota,396,running,0,16,0,Dover
21,22,23,43,Erik Jones,Medallion Bank (Richard Petty Motorsports),Chevrolet,396,running,0,15,0,Dover
22,23,13,6,Ryan Newman,Guaranteed Rate (Jack Roush),Ford,396,running,0,14,0,Dover
23,24,18,21,Matt DiBenedetto,Motorcraft / Quick Lane (Wood Brothers),Ford,395,running,0,13,0,Dover
24,25,21,34,Michael McDowell,Resolve Finance (Bob Jenkins),Ford,395,running,0,12,0,Dover
25,26,26,7,Corey LaJoie,Drydene Performance Products (Spire Motorsports),Chevrolet,393,running,0,11,0,Dover
26,27,6,18,Kyle Busch,M&M's Mix (Joe Gibbs),Toyota,393,running,0,10,0,Dover
27,28,27,38,Anthony Alfredo,Speedy Cash (Bob Jenkins),Ford,392,running,0,9,0,Dover
28,29,35,0,Quin Houff,Reliant / Verkada (StarCom Racing),Chevrolet,388,running,0,8,0,Dover
29,30,29,77,Josh Berry,Diamond Creek Water (Spire Motorsports),Chevrolet,388,running,0,0,0,Dover
30,31,34,51,Cody Ware,Nurtec ODT (Rick Ware),Chevrolet,387,running,0,0,0,Dover
31,32,36,53,Garrett Smithley,RichMar Florists (Rick Ware),Chevrolet,383,running,0,0,0,Dover
32,33,33,15,James Davison,Smart Sanitizer (Rick Ware),Chevrolet,382,running,0,4,0,Dover
33,34,37,52,Josh Bilicki,Bullshooter.com (Rick Ware),Ford,381,running,0,3,0,Dover
34,35,17,14,Chase Briscoe,Ford Performance Racing School (Stewart Haas Racing),Ford,335,running,0,2,0,Dover
35,36,31,78,B.J. McLeod,Surface Sunscreen / Koolbox Ice (B.J. McLeod),Ford,334,engine,0,0,0,Dover
36,37,32,10,Aric Almirola,Smithfield / Weis Markets (Stewart Haas Racing),Ford,300,crash,0,1,0,Dover
0,1,8,9,Chase Elliott,Llumar (Rick Hendrick),Chevrolet,54,running,5,49,5,Austin
1,2,2,5,Kyle Larson,Hendrickcars.com (Rick Hendrick),Chevrolet,54,running,4,47,0,Austin
2,3,6,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,54,running,14,44,1,Austin
3,4,20,42,Ross Chastain,Clover (Chip Ganassi),Chevrolet,54,running,4,36,0,Austin
4,5,7,16,A.J. Allmendinger,Hyperice (Matthew Kaulig),Chevrolet,54,running,0,0,0,Austin
5,6,27,14,Chase Briscoe,HighPoint.com (Stewart Haas Racing),Ford,54,running,0,37,0,Austin
6,7,23,34,Michael McDowell,Out West Express (Bob Jenkins),Ford,54,running,3,39,0,Austin
7,8,12,48,Alex Bowman,Ally (Rick Hendrick),Chevrolet,54,running,3,30,0,Austin
8,9,1,8,Tyler Reddick,Cheddar's Scratch Kitchen (Richard Childress),Chevrolet,54,running,0,36,0,Austin
9,10,4,18,Kyle Busch,M&M's Mix (Joe Gibbs),Toyota,54,running,12,39,1,Austin
10,11,5,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,54,running,0,26,0,Austin
11,12,16,3,Austin Dillon,Workrise (Richard Childress),Chevrolet,54,running,0,25,0,Austin
12,13,28,17,Chris Buescher,Auto Tempest (Jack Roush),Ford,54,running,0,29,0,Austin
13,14,19,11,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,54,running,0,23,0,Austin
14,15,36,37,Ryan Preece,Louisiana Hot Sauce (JTG-Daugherty Racing),Chevrolet,54,running,2,26,0,Austin
15,16,29,43,Erik Jones,Black Entrepreneur Initiative (Richard Petty Motorsports),Chevrolet,54,running,0,21,0,Austin
16,17,9,12,Ryan Blaney,Body Armor (Roger Penske),Ford,54,running,0,20,0,Austin
17,18,37,38,Anthony Alfredo,MDS (Bob Jenkins),Ford,54,running,0,19,0,Austin
18,19,24,2,Brad Keselowski,Thomas Built Buses (Roger Penske),Ford,54,running,0,18,0,Austin
19,20,25,7,Corey LaJoie,Schluter Systems (Spire Motorsports),Chevrolet,54,running,0,23,0,Austin
20,21,33,96,Ty Dillon,Bass Pro Shops / Black Rifle Coffee (Gaunt Brothers),Toyota,54,running,0,0,0,Austin
21,22,22,47,"Ricky Stenhouse, Jr.",Kroger / Louisiana Hot Sauce (JTG-Daugherty Racing),Chevrolet,54,running,0,15,0,Austin
22,23,21,21,Matt DiBenedetto,Menards / Quaker State (Wood Brothers),Ford,54,running,0,15,0,Austin
23,24,34,6,Ryan Newman,Guaranteed Rate (Jack Roush),Ford,54,running,0,13,0,Austin
24,25,3,33,Austin Cindric,Pirtek (Roger Penske),Ford,54,running,4,0,0,Austin
25,26,26,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,54,running,0,11,0,Austin
26,27,13,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,54,running,0,18,0,Austin
27,28,38,53,Garrett Smithley,Jacob Companies (Rick Ware),Ford,54,running,0,0,0,Austin
28,29,32,15,James Davison,Skip Barber Racing School (Rick Ware),Chevrolet,54,running,0,8,0,Austin
29,30,31,52,Josh Bilicki,Junction Fuels (Rick Ware),Ford,54,running,0,7,0,Austin
30,31,39,78,Kyle Tilley,Bremont / Battle Associates (B.J. McLeod),Ford,54,running,0,6,0,Austin
31,32,35,51,Cody Ware,Nurtec ODT (Rick Ware),Chevrolet,53,running,0,0,0,Austin
32,33,15,99,Daniel Suarez,ONX Homes / iFly (Trackhouse Racing),Chevrolet,46,running,0,4,0,Austin
33,34,40,0,Quin Houff,Mane 'n Tail / Spirit Untamed (StarCom Racing),Chevrolet,38,dvp,0,3,0,Austin
34,35,17,19,"Martin Truex, Jr.",Bass Pro Shops (Joe Gibbs),Toyota,24,crash,3,2,0,Austin
35,36,14,41,Cole Custer,HaasTooling.com (Stewart Haas Racing),Ford,24,crash,0,1,0,Austin
36,37,11,4,Kevin Harvick,Mobil1Thousand.com (Stewart Haas Racing),Ford,19,crash,0,1,0,Austin
37,38,10,20,Christopher Bell,Craftsman (Joe Gibbs),Toyota,18,crash,0,1,0,Austin
38,39,18,23,Bubba Wallace,Door Dash (23XI Racing),Toyota,18,crash,0,1,0,Austin
39,40,30,77,Justin Haley,Fraternal Order of Eagles (Spire Motorsports),Chevrolet,12,steering,0,0,0,Austin
0,1,1,5,Kyle Larson,MetroTech (Rick Hendrick),Chevrolet,400,running,327,70,8,Charlotte
1,2,3,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,400,running,22,60,0,Charlotte
2,3,20,18,Kyle Busch,"M&M's Red, White & Blue (Joe Gibbs)",Toyota,400,running,1,54,0,Charlotte
3,4,4,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,400,running,19,58,0,Charlotte
4,5,7,48,Alex Bowman,Ally Patriotic (Rick Hendrick),Chevrolet,400,running,5,43,0,Charlotte
5,6,6,3,Austin Dillon,Bass Pro Shops / Tracker Off Road (Richard Childress),Chevrolet,400,running,1,41,0,Charlotte
6,7,14,11,Denny Hamlin,FedEx Freight (Joe Gibbs),Toyota,400,running,3,36,0,Charlotte
7,8,27,17,Chris Buescher,Fifth Third Bank (Jack Roush),Ford,400,running,0,32,0,Charlotte
8,9,15,8,Tyler Reddick,Alsco Uniforms (Richard Childress),Chevrolet,400,running,6,42,0,Charlotte
9,10,5,4,Kevin Harvick,Mobil 1 (Stewart Haas Racing),Ford,400,running,0,40,0,Charlotte
10,11,13,2,Brad Keselowski,Keystone Light (Roger Penske),Ford,400,running,6,26,0,Charlotte
11,12,2,47,"Ricky Stenhouse, Jr.",Cottonelle (JTG-Daugherty Racing),Chevrolet,400,running,0,27,0,Charlotte
12,13,11,12,Ryan Blaney,Body Armor Edge (Roger Penske),Ford,400,running,2,24,0,Charlotte
13,14,18,23,Bubba Wallace,Door Dash (23XI Racing),Toyota,400,running,0,25,0,Charlotte
14,15,9,99,Daniel Suarez,Camping World (Trackhouse Racing),Chevrolet,398,running,0,22,0,Charlotte
15,16,19,43,Erik Jones,Petty's Garage (Richard Petty Motorsports),Chevrolet,398,running,0,21,0,Charlotte
16,17,16,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,398,running,0,20,0,Charlotte
17,18,22,21,Matt DiBenedetto,Menards / Masterforce Tools (Wood Brothers),Ford,398,running,2,19,0,Charlotte
18,19,26,7,Corey LaJoie,Diamond Creek Water (Spire Motorsports),Chevrolet,398,running,0,18,0,Charlotte
19,20,24,34,Michael McDowell,Fr8 Auctions (Bob Jenkins),Ford,398,running,0,17,0,Charlotte
20,21,23,41,Cole Custer,Feeding America / Wow Wow (Stewart Haas Racing),Ford,397,running,0,16,0,Charlotte
21,22,31,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,397,running,0,15,0,Charlotte
22,23,21,14,Chase Briscoe,HighPoint.com (Stewart Haas Racing),Ford,397,running,0,14,0,Charlotte
23,24,17,20,Christopher Bell,The Memorial Day Toyota (Joe Gibbs),Toyota,397,running,3,13,0,Charlotte
24,25,29,38,Anthony Alfredo,Death Wish Coffee (Bob Jenkins),Ford,397,running,3,12,0,Charlotte
25,26,28,37,Ryan Preece,Kroger / Coca-Cola (JTG-Daugherty Racing),Chevrolet,397,running,0,11,0,Charlotte
26,27,25,6,Ryan Newman,Kohler Generators (Jack Roush),Ford,396,running,0,10,0,Charlotte
27,28,30,77,Justin Haley,Walmart (Spire Motorsports),Chevrolet,395,running,0,0,0,Charlotte
28,29,8,19,"Martin Truex, Jr.",Bass Pro Shops Red White & Blue (Joe Gibbs),Toyota,391,running,0,12,0,Charlotte
29,30,34,53,Cody Ware,U.S. Marines Military Salutes (Rick Ware),Chevrolet,389,running,0,0,0,Charlotte
30,31,33,78,B.J. McLeod,Solomon Plumbing / DA-Quick Clip (B.J. McLeod),Ford,389,running,0,0,0,Charlotte
31,32,32,0,Quin Houff,8 Ball Chocolate Whiskey (StarCom Racing),Chevrolet,389,running,0,5,0,Charlotte
32,33,35,15,James Davison,Navy Military Salutes (Rick Ware),Chevrolet,388,running,0,4,0,Charlotte
33,34,36,51,Garrett Smithley,Air Force Military Salutes (Rick Ware),Chevrolet,387,running,0,0,0,Charlotte
34,35,37,52,Josh Bilicki,U.S. Army Military Salutes (Rick Ware),Ford,382,running,0,2,0,Charlotte
35,36,38,66,David Starr,Richardson Service (Carl Long),Toyota,369,running,0,0,0,Charlotte
36,37,10,42,Ross Chastain,Advent Health (Chip Ganassi),Chevrolet,359,running,0,1,0,Charlotte
37,38,12,1,Kurt Busch,Gear Wrench (Chip Ganassi),Chevrolet,139,engine,0,1,0,Charlotte
0,1,1,5,Kyle Larson,Hendrickcars.com (Rick Hendrick),Chevrolet,92,running,57,60,7,Sonoma
1,2,2,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,92,running,13,50,0,Sonoma
2,3,19,19,"Martin Truex, Jr.",Bass Pro Shops (Joe Gibbs),Toyota,92,running,0,41,0,Sonoma
3,4,13,22,Joey Logano,Auto Trader (Roger Penske),Ford,92,running,5,42,0,Sonoma
4,5,5,18,Kyle Busch,Sport Clips (Joe Gibbs),Toyota,92,running,2,44,0,Sonoma
5,6,30,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,92,running,8,41,0,Sonoma
6,7,29,42,Ross Chastain,Clover (Chip Ganassi),Chevrolet,92,running,0,30,0,Sonoma
7,8,4,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,92,running,2,31,0,Sonoma
8,9,7,48,Alex Bowman,Ally (Rick Hendrick),Chevrolet,92,running,0,42,0,Sonoma
9,10,11,12,Ryan Blaney,Dex Imaging (Roger Penske),Ford,92,running,0,27,0,Sonoma
10,11,18,43,Erik Jones,Black Entrepreneur Initiative (Richard Petty Motorsports),Chevrolet,92,running,0,27,0,Sonoma
11,12,16,99,Daniel Suarez,CommScope (Trackhouse Racing),Chevrolet,92,running,0,25,0,Sonoma
12,13,6,3,Austin Dillon,Congressional Sportsmen's Foundation (Richard Childress),Chevrolet,92,running,0,29,0,Sonoma
13,14,15,23,Bubba Wallace,Door Dash (23XI Racing),Toyota,92,running,0,23,0,Sonoma
14,15,9,2,Brad Keselowski,America's Tire (Roger Penske),Ford,92,running,0,25,0,Sonoma
15,16,12,17,Chris Buescher,Fastenal (Jack Roush),Ford,92,running,0,21,0,Sonoma
16,17,25,14,Chase Briscoe,Ford Performance Racing School (Stewart Haas Racing),Ford,92,running,0,20,0,Sonoma
17,18,22,7,Corey LaJoie,Nations Guard (Spire Motorsports),Chevrolet,92,running,0,19,0,Sonoma
18,19,10,8,Tyler Reddick,Childress Vineyards (Richard Childress),Chevrolet,92,running,0,22,0,Sonoma
19,20,23,41,Cole Custer,Autodesk / HaasTooling.com (Stewart Haas Racing),Ford,92,running,0,17,0,Sonoma
20,21,27,37,Ryan Preece,Cottonelle (JTG-Daugherty Racing),Chevrolet,92,running,0,16,0,Sonoma
21,22,8,4,Kevin Harvick,Busch Light #BeerOverWine (Stewart Haas Racing),Ford,92,running,0,15,0,Sonoma
22,23,17,21,Matt DiBenedetto,Menards / Knauf (Wood Brothers),Ford,92,running,0,16,0,Sonoma
23,24,20,20,Christopher Bell,Rheem / Smurfit Kappa (Joe Gibbs),Toyota,92,running,0,14,0,Sonoma
24,25,32,15,James Davison,Skip Barber Racing School (Rick Ware),Chevrolet,92,running,0,12,0,Sonoma
25,26,35,78,Scott Heckert,Surface Sunscreen (B.J. McLeod),Ford,92,running,0,11,0,Sonoma
26,27,26,10,Aric Almirola,Farmer John (Stewart Haas Racing),Ford,92,running,0,10,0,Sonoma
27,28,21,34,Michael McDowell,Love's Travel Stops (Bob Jenkins),Ford,92,running,0,9,0,Sonoma
28,29,36,52,Josh Bilicki,Pacific Coast Termite (Rick Ware),Ford,92,running,0,8,0,Sonoma
29,30,31,77,Ben Rhodes,Kaeding Performance (Spire Motorsports),Chevrolet,92,running,0,0,0,Sonoma
30,31,28,38,Anthony Alfredo,MDS (Bob Jenkins),Ford,92,running,0,6,0,Sonoma
31,32,34,53,Garrett Smithley,RJ's Paint Shop (Rick Ware),Ford,92,running,0,0,0,Sonoma
32,33,24,6,Ryan Newman,Guaranteed Rate (Jack Roush),Ford,92,running,0,4,0,Sonoma
33,34,37,51,Cody Ware,Nurtec ODT (Rick Ware),Chevrolet,84,crash,0,0,0,Sonoma
34,35,3,24,William Byron,Axalta (Rick Hendrick),Chevrolet,76,crash,5,7,0,Sonoma
35,36,33,0,Quin Houff,8 Ball Chocolate Whiskey (StarCom Racing),Chevrolet,69,rear gear,0,1,0,Sonoma
36,37,14,47,"Ricky Stenhouse, Jr.",SunnyD (JTG-Daugherty Racing),Chevrolet,40,engine,0,1,0,Sonoma
0,1,5,5,Kyle Larson,Valvoline (Rick Hendrick),Chevrolet,300,running,264,59,6,Nashville
1,2,19,42,Ross Chastain,Clover (Chip Ganassi),Chevrolet,300,running,4,35,0,Nashville
2,3,4,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,300,running,0,41,0,Nashville
3,4,1,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,300,running,1,36,0,Nashville
4,5,12,4,Kevin Harvick,Grave Digger (Stewart Haas Racing),Ford,300,running,0,34,0,Nashville
5,6,14,47,"Ricky Stenhouse, Jr.",Kroger / Nature Valley (JTG-Daugherty Racing),Chevrolet,300,running,0,40,0,Nashville
6,7,22,99,Daniel Suarez,Tootsies Orchid Lounge (Trackhouse Racing),Chevrolet,300,running,0,38,0,Nashville
7,8,30,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,300,running,3,40,1,Nashville
8,9,25,20,Christopher Bell,DeWalt (Joe Gibbs),Toyota,300,running,0,28,0,Nashville
9,10,3,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,300,running,0,30,0,Nashville
10,11,2,18,Kyle Busch,Pedigree (Joe Gibbs),Toyota,300,running,10,39,0,Nashville
11,12,28,3,Austin Dillon,Get Bioethanol (Richard Childress),Chevrolet,300,running,0,40,0,Nashville
12,13,29,6,Ryan Newman,Planters (Jack Roush),Ford,300,running,0,24,0,Nashville
13,14,8,48,Alex Bowman,Ally Neon Lights (Rick Hendrick),Chevrolet,300,running,0,23,0,Nashville
14,15,24,7,Corey LaJoie,Pryor & Lee (Spire Motorsports),Chevrolet,300,running,0,22,0,Nashville
15,16,23,34,Michael McDowell,Love's Travel Stops (Bob Jenkins),Ford,300,running,0,21,0,Nashville
16,17,18,38,Anthony Alfredo,Speedco (Bob Jenkins),Ford,300,running,0,20,0,Nashville
17,18,26,8,Tyler Reddick,Quartz Hill Records (Richard Childress),Chevrolet,300,running,0,19,0,Nashville
18,19,9,43,Erik Jones,Black Entrepreneur Initiative (Richard Petty Motorsports),Chevrolet,300,running,0,18,0,Nashville
19,20,21,23,Bubba Wallace,Door Dash / Pet Smart (23XI Racing),Toyota,299,running,0,17,0,Nashville
20,21,13,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,299,running,0,22,0,Nashville
21,22,35,19,"Martin Truex, Jr.",Bass Pro Shops (Joe Gibbs),Toyota,299,running,0,15,0,Nashville
